delta,-log10_p,p_value,cohen_d,win_rate_G+Max,tie_rate,n_pairs
0.001,39.66007831877879,2.187367128101421e-40,-1.4286428835371634,0.875,0.125,160
0.002,39.66007831877879,2.187367128101421e-40,-1.4286428835371634,0.875,0.125,160
0.003,39.66007831877879,2.187367128101421e-40,-1.4286428835371634,0.875,0.125,160
0.004,39.66007831877879,2.187367128101421e-40,-1.4286428835371634,0.875,0.125,160
0.006,39.677604347844394,2.1008529369051674e-40,-1.429180446354164,0.875,0.125,160
0.008,39.71075333011147,1.946465317990696e-40,-1.4301973947075601,0.875,0.125,160
0.01,39.74138386452168,1.8139116724447447e-40,-1.4311373081291165,0.875,0.125,160
