algo,a_nlogn,b,R2,n_samples
Greedy+Max,2.1469908288426852e-08,3.041887317074267e-06,0.9986787656927021,800
GreedyDensity,1.7920380729541692e-08,3.0617757360597935e-06,0.9946628094670259,800
