algo,a_nlogn,b,R2,n_samples
Greedy+Max,2.1389719306436368e-08,2.8431893173070548e-06,0.9997376601060911,200
GreedyDensity,1.7972241859852153e-08,2.0143923335880193e-06,0.9975448281388363,200
