algo,a_nlogn,b,R2,n_samples
Bounded_BeamSearch,4.3994752756926066e-07,5.6581685591841984e-05,0.9088388000445176,200
Classic_BeamSearch,4.6812400801618835e-07,1.6393561860459722e-05,0.9985349352571449,200
