delta,-log10_p,p_value,cohen_d,win_rate_G+Max,tie_rate,n_pairs
0.001,3.591290515488928,0.0002562769132843048,-0.5575354661289986,0.26,0.74,50
0.002,1.0568743102013092,0.08772546719607985,-0.24640198601488397,0.22,0.74,50
0.003,1.9837520417871788,0.010381209564975145,-0.37696291616004196,0.2,0.8,50
0.004,2.498242140029058,0.003175103304487135,-0.43886322727362725,0.24,0.76,50
0.006,1.78594500125542,0.016370238198347497,-0.35159789703037597,0.24,0.74,50
0.008,2.4506016124905887,0.0035432221931411077,-0.4333385766284402,0.18,0.82,50
0.01,2.04576226154702,0.008999901130124747,-0.3847134376252964,0.22,0.76,50
