class,rep,algo,value,runtime_s,gap,opt_known,opt_time_s,capacity,n,sum_w
GreedyTrap,2,GA,966,0.28987909998977557,0.0,True,0.0018407999887131155,1000,150,97159
GreedyTrap,2,ImprovedGA,966,1.720620499982033,0.0,True,0.0018407999887131155,1000,150,97159
GreedyTrap,3,GA,967,0.2944110999815166,0.0,True,0.002280999964568764,1000,150,96096
GreedyTrap,3,ImprovedGA,967,1.7045606999890879,0.0,True,0.002280999964568764,1000,150,96096
GreedyTrap,4,GA,967,0.29181560000870377,0.0,True,0.0018153000273741782,1000,150,97242
GreedyTrap,4,ImprovedGA,967,1.734799500030931,0.0,True,0.0018153000273741782,1000,150,97242
GreedyTrap-ADV,0,GA,983,0.014644899987615645,0.0,True,8.730002446100116e-05,1000,13,12269
GreedyTrap-ADV,0,ImprovedGA,983,0.07189209997886792,0.0,True,8.730002446100116e-05,1000,13,12269
GreedyTrap-ADV,1,GA,990,0.013810599979478866,0.0,True,8.690002141520381e-05,1000,13,12352
GreedyTrap-ADV,1,ImprovedGA,990,0.06987440004013479,0.0,True,8.690002141520381e-05,1000,13,12352
GreedyTrap-ADV,2,GA,987,0.014528199972119182,0.0,True,0.00010190001921728253,1000,13,12310
GreedyTrap-ADV,2,ImprovedGA,987,0.07311269995989278,0.0,True,0.00010190001921728253,1000,13,12310
GreedyTrap-ADV,3,GA,987,0.013772299978882074,0.0,True,8.440000237897038e-05,1000,13,12334
GreedyTrap-ADV,3,ImprovedGA,987,0.07340699998894706,0.0,True,8.440000237897038e-05,1000,13,12334
GreedyTrap-ADV,4,GA,984,0.014316199987661093,0.0,True,0.0001037000329233706,1000,13,12353
GreedyTrap-ADV,4,ImprovedGA,984,0.07302420004270971,0.0,True,0.0001037000329233706,1000,13,12353
Uncorrelated-Large,0,GA,1657,0.8589031000155956,0.056909455589136744,False,,1000,500,325208
Uncorrelated-Large,0,ImprovedGA,1657,4.285204000014346,0.056909455589136744,False,,1000,500,325208
Uncorrelated-Large,1,GA,1647,0.9173753000213765,0.055269154551481556,False,,1000,500,324902
Uncorrelated-Large,1,ImprovedGA,1647,4.47152029996505,0.055269154551481556,False,,1000,500,324902
Uncorrelated-Large,2,GA,990,0.8357412000186741,0.4367926223127133,False,,1000,500,326711
Uncorrelated-Large,2,ImprovedGA,1661,4.551453699998092,0.05506317743577453,False,,1000,500,326711
Uncorrelated-Large,3,GA,1645,0.874466500012204,0.05500359797062365,False,,1000,500,325501
Uncorrelated-Large,3,ImprovedGA,1645,4.582714199961629,0.05500359797062365,False,,1000,500,325501
Uncorrelated-Large,4,GA,984,0.881051300035324,0.42045733529407386,False,,1000,500,324308
Uncorrelated-Large,4,ImprovedGA,1604,4.6380067999707535,0.05529833923952692,False,,1000,500,324308
