algo,value,runtime_s,nodes_generated,nodes_explored,pruning_ratio,first_opt_node,memory_peak_mb,opt_known,opt_value,opt_time_s,correct,capacity,n,sum_w,timeout,error,class,sample,seed
bb_enhanced,631,0.0005646000063279644,29,29,0.0,18,0.00344085693359375,True,631,0.0008226999925682321,True,500,15,863,False,,Uncorrelated,17,9871384
bb_basic,531,0.00016959999629762024,25,25,0.0,16,0.00102996826171875,True,531,0.000828799995360896,True,500,15,819,False,,Uncorrelated,18,9936921
bb_enhanced,531,0.0005949000042164698,25,25,0.0,16,0.00286102294921875,True,531,0.000828799995360896,True,500,15,819,False,,Uncorrelated,18,9936921
bb_basic,806,0.00022009998792782426,28,28,0.0,16,0.0014801025390625,True,806,0.0009300999954575673,True,500,15,707,False,,Uncorrelated,19,2458
bb_enhanced,806,0.0006925000052433461,28,28,0.0,16,0.003997802734375,True,806,0.0009300999954575673,True,500,15,707,False,,Uncorrelated,19,2458
bb_basic,854,0.00026539999817032367,35,35,0.0,21,0.00183868408203125,True,854,0.001093999992008321,True,500,20,901,False,,Uncorrelated,0,6952796
bb_enhanced,854,0.000828799995360896,35,35,0.0,21,0.004608154296875,True,854,0.001093999992008321,True,500,20,901,False,,Uncorrelated,0,6952796
bb_basic,734,0.0003966999938711524,70,70,0.0,21,0.0015106201171875,True,734,0.001078899993444793,True,500,20,1152,False,,Uncorrelated,1,7018333
bb_enhanced,734,0.0013091000000713393,65,65,0.0,43,0.0068359375,True,734,0.001078899993444793,True,500,20,1152,False,,Uncorrelated,1,7018333
bb_basic,753,0.00027570000384002924,41,41,0.0,21,0.00140380859375,True,753,0.0009953000117093325,True,500,20,1174,False,,Uncorrelated,2,7083870
bb_enhanced,753,0.0008224000048357993,41,41,0.0,27,0.00424957275390625,True,753,0.0009953000117093325,True,500,20,1174,False,,Uncorrelated,2,7083870
bb_basic,883,0.0003279999946244061,50,50,0.0,21,0.0018157958984375,True,883,0.001123199996072799,True,500,20,980,False,,Uncorrelated,3,7149407
bb_enhanced,883,0.0009034999966388568,44,44,0.0,28,0.0049896240234375,True,883,0.001123199996072799,True,500,20,980,False,,Uncorrelated,3,7149407
bb_basic,842,0.00022139999782666564,32,32,0.0,21,0.001373291015625,True,842,0.0010466999956406653,True,500,20,1139,False,,Uncorrelated,4,7214944
bb_enhanced,842,0.0006754000060027465,32,32,0.0,21,0.00360107421875,True,842,0.0010466999956406653,True,500,20,1139,False,,Uncorrelated,4,7214944
bb_basic,659,0.00022149999858811498,31,31,0.0,21,0.00112152099609375,True,659,0.0009519000013824552,True,500,20,1271,False,,Uncorrelated,5,7280481
bb_enhanced,659,0.0006019000138621777,31,31,0.0,22,0.00307464599609375,True,659,0.0009519000013824552,True,500,20,1271,False,,Uncorrelated,5,7280481
bb_basic,635,0.0007948999991640449,138,138,0.0,21,0.0017547607421875,True,635,0.0011444999981904402,True,500,20,918,False,,Uncorrelated,6,7346018
bb_enhanced,635,0.004005299997515976,138,138,0.0,91,0.01465606689453125,True,635,0.0011444999981904402,True,500,20,918,False,,Uncorrelated,6,7346018
bb_basic,745,0.0003386999887879938,47,47,0.0,21,0.00191497802734375,True,745,0.001137600003858097,True,500,20,856,False,,Uncorrelated,7,7411555
bb_enhanced,745,0.0009942000033333898,44,44,0.0,27,0.005340576171875,True,745,0.001137600003858097,True,500,20,856,False,,Uncorrelated,7,7411555
bb_basic,705,0.000334700001985766,59,59,0.0,21,0.00131988525390625,True,705,0.0009759999957168475,True,500,20,1165,False,,Uncorrelated,8,7477092
bb_enhanced,705,0.0010495000024093315,53,53,0.0,35,0.00536346435546875,True,705,0.0009759999957168475,True,500,20,1165,False,,Uncorrelated,8,7477092
bb_basic,669,0.00021129999367985874,34,34,0.0,21,0.00124359130859375,True,669,0.0009831999923335388,True,500,20,1178,False,,Uncorrelated,9,7542629
bb_enhanced,669,0.0006817999965278432,34,34,0.0,23,0.003570556640625,True,669,0.0009831999923335388,True,500,20,1178,False,,Uncorrelated,9,7542629
bb_basic,1090,0.00038920000952202827,53,53,0.0,21,0.00228118896484375,True,1090,0.0011920000106329098,True,500,20,763,False,,Uncorrelated,10,8429581
bb_enhanced,1090,0.001058599998941645,46,46,0.0,27,0.0057373046875,True,1090,0.0011920000106329098,True,500,20,763,False,,Uncorrelated,10,8429581
bb_basic,743,0.00022590000298805535,32,32,0.0,21,0.0013427734375,True,743,0.0010498000046936795,True,500,20,1012,False,,Uncorrelated,11,8495118
bb_enhanced,743,0.0006778999959351495,32,32,0.0,21,0.003570556640625,True,743,0.0010498000046936795,True,500,20,1012,False,,Uncorrelated,11,8495118
