delta,-log10_p,p_value,cohen_d,win_rate_BPSO,tie_rate,n_pairs
0.001,9.012344199680944,9.719765793117432e-10,0.5140885822360318,0.0,0.65,160
0.002,8.840816643245603,1.4427243332823484e-09,0.5081243164318877,0.0,0.63125,160
0.003,8.163227797053235,6.867081519317046e-09,0.4841739869339283,0.0,0.675,160
0.004,8.588972934769522,2.5764817183304273e-09,0.4992974016836538,0.0,0.68125,160
0.006,9.298955878680697,5.023936266518219e-10,0.5239726295215777,0.0,0.65625,160
0.008,9.011954888981823,9.728482701835776e-10,0.5140750877159805,0.0,0.66875,160
0.01,9.32754022394757,4.703918364576426e-10,0.5249529584328954,0.0,0.64375,160
