class,rep,sample,algo,value,runtime_s,gap,opt_known,opt_time_s,capacity,n,sum_w
Uncorrelated,1,2,Greedy+Max,1583,1.0499963536858559e-05,0.0,True,0.0007891000714153051,1000,60,40404
Uncorrelated,1,3,GreedyDensity,995,8.19982960820198e-06,0.3792888334373051,True,0.000914999982342124,1000,60,38274
Uncorrelated,1,3,Greedy+Max,1603,1.0400079190731049e-05,0.0,True,0.000914999982342124,1000,60,38274
Uncorrelated,1,4,GreedyDensity,946,8.19982960820198e-06,0.4005069708491762,True,0.0008312000427395105,1000,60,39086
Uncorrelated,1,4,Greedy+Max,1578,1.0400079190731049e-05,0.0,True,0.0008312000427395105,1000,60,39086
Uncorrelated,1,5,GreedyDensity,954,8.299946784973145e-06,0.38011695906432746,True,0.0008516998495906591,1000,60,39121
Uncorrelated,1,5,Greedy+Max,1539,1.0200077667832375e-05,0.0,True,0.0008516998495906591,1000,60,39121
Uncorrelated,1,6,GreedyDensity,878,8.400063961744308e-06,0.38687150837988826,True,0.0008668999653309584,1000,60,38910
Uncorrelated,1,6,Greedy+Max,1432,1.0499963536858559e-05,0.0,True,0.0008668999653309584,1000,60,38910
Uncorrelated,1,7,GreedyDensity,995,8.299946784973145e-06,0.3940316686967113,True,0.0008365998510271311,1000,60,39187
Uncorrelated,1,7,Greedy+Max,1642,1.0100193321704865e-05,0.0,True,0.0008365998510271311,1000,60,39187
Uncorrelated,1,8,GreedyDensity,918,8.19982960820198e-06,0.39644970414201186,True,0.0008477000519633293,1000,60,38910
Uncorrelated,1,8,Greedy+Max,1521,1.0100193321704865e-05,0.0,True,0.0008477000519633293,1000,60,38910
Uncorrelated,1,9,GreedyDensity,999,8.200062438845634e-06,0.3620689655172414,True,0.0008476001676172018,1000,60,38919
Uncorrelated,1,9,Greedy+Max,1566,1.0299962013959885e-05,0.0,True,0.0008476001676172018,1000,60,38919
Uncorrelated,1,10,GreedyDensity,899,8.09994526207447e-06,0.4058162590879048,True,0.00086939986795187,1000,60,39091
Uncorrelated,1,10,Greedy+Max,1513,1.0200077667832375e-05,0.0,True,0.00086939986795187,1000,60,39091
Uncorrelated,1,11,GreedyDensity,946,8.200062438845634e-06,0.3825065274151436,True,0.0008356000762432814,1000,60,39212
Uncorrelated,1,11,Greedy+Max,1532,1.0299962013959885e-05,0.0,True,0.0008356000762432814,1000,60,39212
Uncorrelated,1,12,GreedyDensity,963,8.200062438845634e-06,0.4088397790055249,True,0.0008090999908745289,1000,60,39937
Uncorrelated,1,12,Greedy+Max,1629,1.0200077667832375e-05,0.0,True,0.0008090999908745289,1000,60,39937
Uncorrelated,1,13,GreedyDensity,951,8.299946784973145e-06,0.4122373300370828,True,0.0008388999849557877,1000,60,39199
Uncorrelated,1,13,Greedy+Max,1618,1.0299962013959885e-05,0.0,True,0.0008388999849557877,1000,60,39199
Uncorrelated,1,14,GreedyDensity,946,8.200062438845634e-06,0.37184594953519257,True,0.0008564000017940998,1000,60,39115
Uncorrelated,1,14,Greedy+Max,1506,1.019984483718872e-05,0.0,True,0.0008564000017940998,1000,60,39115
Uncorrelated,1,15,GreedyDensity,993,8.00006091594696e-06,0.3344504021447721,True,0.0008515999652445316,1000,60,38962
Uncorrelated,1,15,Greedy+Max,1492,1.009996049106121e-05,0.0,True,0.0008515999652445316,1000,60,38962
Uncorrelated,1,16,GreedyDensity,985,8.09994526207447e-06,0.40805288461538464,True,0.0008775000460445881,1000,60,38499
Uncorrelated,1,16,Greedy+Max,1664,1.019984483718872e-05,0.0,True,0.0008775000460445881,1000,60,38499
Uncorrelated,1,17,GreedyDensity,950,8.100178092718124e-06,0.3708609271523179,True,0.0008522998541593552,1000,60,39405
Uncorrelated,1,17,Greedy+Max,1510,1.019984483718872e-05,0.0,True,0.0008522998541593552,1000,60,39405
Uncorrelated,1,18,GreedyDensity,989,8.200062438845634e-06,0.33130493576741044,True,0.0008357998449355364,1000,60,39587
Uncorrelated,1,18,Greedy+Max,1479,1.0399846360087395e-05,0.0,True,0.0008357998449355364,1000,60,39587
