class,rep,sample,algo,value,runtime_s,gap,opt_known,opt_time_s,capacity,n,sum_w
Uncorrelated,0,0,SA_Fast,889,0.0024033999998209765,0.4057486631016043,True,0.0028602000002138084,1000,60,39836
Uncorrelated,0,0,MemeticSA_Fast,1496,0.003996899999037851,0.0,True,0.0028602000002138084,1000,60,39836
Uncorrelated,0,1,SA_Fast,1554,0.002601799998956267,0.0,True,0.00278480000088166,1000,60,38509
Uncorrelated,0,1,MemeticSA_Fast,1554,0.0035955000003013993,0.0,True,0.00278480000088166,1000,60,38509
Uncorrelated,0,2,SA_Fast,963,0.002245400000902009,0.3493243243243243,True,0.0024188000006688526,1000,60,40319
Uncorrelated,0,2,MemeticSA_Fast,1480,0.0036725999998452608,0.0,True,0.0024188000006688526,1000,60,40319
Uncorrelated,0,3,SA_Fast,993,0.0017305000001215376,0.3727100442198358,True,0.0026603999995131744,1000,60,39569
Uncorrelated,0,3,MemeticSA_Fast,1583,0.003466999998636311,0.0,True,0.0026603999995131744,1000,60,39569
Uncorrelated,0,4,SA_Fast,933,0.0022331000000122003,0.41320754716981134,True,0.00301460000082443,1000,60,39878
Uncorrelated,0,4,MemeticSA_Fast,1590,0.003841699999611592,0.0,True,0.00301460000082443,1000,60,39878
Uncorrelated,0,5,SA_Fast,964,0.0020825999999942724,0.38046272493573263,True,0.0024413000010099495,1000,60,39389
Uncorrelated,0,5,MemeticSA_Fast,1556,0.0038011999986338196,0.0,True,0.0024413000010099495,1000,60,39389
Uncorrelated,0,6,SA_Fast,967,0.0022556000003532972,0.34083162917518744,True,0.0023068000009516254,1000,60,40420
Uncorrelated,0,6,MemeticSA_Fast,1467,0.004077200001120218,0.0,True,0.0023068000009516254,1000,60,40420
Uncorrelated,0,7,SA_Fast,996,0.0023177999992185505,0.40784780023781214,True,0.0027633999998215586,1000,60,39125
Uncorrelated,0,7,MemeticSA_Fast,1682,0.0038318999995681224,0.0,True,0.0027633999998215586,1000,60,39125
Uncorrelated,0,8,SA_Fast,928,0.002090899999529938,0.38786279683377306,True,0.0026901999990514014,1000,60,39758
Uncorrelated,0,8,MemeticSA_Fast,1516,0.0033540999993419973,0.0,True,0.0026901999990514014,1000,60,39758
Uncorrelated,0,9,SA_Fast,970,0.0022678000004816568,0.291970802919708,True,0.0027239999999437714,1000,60,39980
Uncorrelated,0,9,MemeticSA_Fast,1370,0.006389599999238271,0.0,True,0.0027239999999437714,1000,60,39980
Uncorrelated,0,10,SA_Fast,988,0.0020910999992338475,0.3567708333333333,True,0.0027857000004587462,1000,60,39282
Uncorrelated,0,10,MemeticSA_Fast,1536,0.0036220999991201097,0.0,True,0.0027857000004587462,1000,60,39282
Uncorrelated,0,11,SA_Fast,946,0.0022535999996762257,0.4027777777777778,True,0.0030370000004040776,1000,60,39547
Uncorrelated,0,11,MemeticSA_Fast,1584,0.0037592999997286825,0.0,True,0.0030370000004040776,1000,60,39547
Uncorrelated,0,12,SA_Fast,899,0.0022551000001840293,0.37612768910478833,True,0.002737699998760945,1000,60,40089
Uncorrelated,0,12,MemeticSA_Fast,984,0.0037033000007795636,0.31714087439278277,True,0.002737699998760945,1000,60,40089
Uncorrelated,0,13,SA_Fast,1517,0.0026020000004791655,0.0,True,0.0027372000004106667,1000,60,39537
Uncorrelated,0,13,MemeticSA_Fast,972,0.0033142000011139316,0.3592617007251154,True,0.0027372000004106667,1000,60,39537
Uncorrelated,0,14,SA_Fast,1415,0.002815900001223781,0.0,True,0.002936299999419134,1000,60,39073
Uncorrelated,0,14,MemeticSA_Fast,1415,0.003370099999301601,0.0,True,0.002936299999419134,1000,60,39073
Uncorrelated,0,15,SA_Fast,959,0.001946700000189594,0.3953341740226986,True,0.002714999998715939,1000,60,38799
