class,algo,n,mean_memory_mb,std_memory_mb,ci95_memory_mb,max_memory_mb,min_memory_mb,count
GreedyTrap,bb_basic,15,0.0017242431640625,0.0,0.0,0.0017242431640625,0.0017242431640625,20
GreedyTrap,bb_basic,20,0.0026931762695312006,4.449471833015287e-19,1.9500670105881837e-19,0.0026931762695312,0.0026931762695312,20
GreedyTrap,bb_basic,25,0.0038848876953124487,6.141544127654443e-05,2.691650390624996e-05,0.0041427612304687,0.0038681030273437,20
GreedyTrap,bb_basic,30,0.0052112579345703096,0.00010945973820001096,4.7972845421252774e-05,0.0056228637695312,0.005157470703125,20
GreedyTrap,bb_enhanced,15,0.004466247558593725,5.9685080614060256e-05,2.615813990913635e-05,0.0045394897460937,0.0044021606445312,20
GreedyTrap,bb_enhanced,20,0.006183624267578074,5.117953439712043e-05,2.2430419921875e-05,0.0064010620117187,0.0061721801757812,20
GreedyTrap,bb_enhanced,25,0.008048248291015574,5.132299518139442e-05,2.2493294382760444e-05,0.0082626342773437,0.0080337524414062,20
GreedyTrap,bb_enhanced,30,0.010057830810546875,8.762360886539896e-05,3.840273978794952e-05,0.0103607177734375,0.010009765625,20
ProbingBenefit,bb_basic,15,0.0016273498535156,5.4236808247727116e-05,2.377032926440966e-05,0.0017318725585937,0.0015029907226562,20
ProbingBenefit,bb_basic,20,0.002384948730468735,8.289122291697153e-05,3.63286801993656e-05,0.0025634765625,0.0022201538085937,20
ProbingBenefit,bb_basic,25,0.0027824401855468402,0.00012708936554705724,5.569937027378579e-05,0.0030288696289062,0.0025787353515625,20
ProbingBenefit,bb_basic,30,0.0034461975097656097,0.00011064629623558883,4.849287740890572e-05,0.00372314453125,0.00323486328125,20
ProbingBenefit,bb_enhanced,15,0.010007476806640605,0.004087617884064341,0.0017914775251430973,0.0170516967773437,0.0041046142578125,20
ProbingBenefit,bb_enhanced,20,0.036633300781249975,0.021751975473984195,0.009533223577728425,0.0743408203125,0.0056991577148437,20
ProbingBenefit,bb_enhanced,25,0.05913352966308592,0.05948988295362174,0.026072590762529615,0.2257537841796875,0.0093154907226562,20
ProbingBenefit,bb_enhanced,30,0.1293609619140625,0.1735096550788528,0.07604395916773586,0.6912460327148438,0.0107879638671875,20
StronglyCorr,bb_basic,15,0.00141792297363278,0.00013494996161993192,5.914442839765845e-05,0.0016708374023437,0.001220703125,20
StronglyCorr,bb_basic,20,0.00180206298828123,0.0002001110188360046,8.770252086815324e-05,0.002197265625,0.0014572143554687,20
StronglyCorr,bb_basic,25,0.0021114349365234054,0.0003204811750666353,0.00014045706781976939,0.0027542114257812,0.0013961791992187,20
StronglyCorr,bb_basic,30,0.00229110717773435,0.0003259711121084346,0.00014286313881363023,0.00311279296875,0.0018310546875,20
StronglyCorr,bb_enhanced,15,0.04719352722167967,0.058537483433258375,0.025655183268952563,0.2313766479492187,0.0050735473632812,20
StronglyCorr,bb_enhanced,20,0.07654914855957029,0.11311158346470085,0.049573337175263604,0.4868316650390625,0.0042953491210937,20
StronglyCorr,bb_enhanced,25,0.2624839782714844,0.4357173290216333,0.19096153906673471,1.7393798828125,0.0059051513671875,20
StronglyCorr,bb_enhanced,30,0.24236907958984374,0.20826153558376956,0.09127464233010481,0.7071075439453125,0.005706787109375,20
