实例类型,时间改进(%),节点改进(%),收敛改进(%),基础版平均时间(s),增强版平均时间(s),基础版平均节点数,增强版平均节点数
Uncorrelated,-204.2812409591118,11.53556642830259,-27.247894489485507,0.0004330812496845712,0.0013177850009014427,66.425,58.7625
WeaklyCorr,-150.39017943581635,30.480630480630484,-65.02404761838714,0.0012513475001468912,0.0031332512509834034,225.225,156.575
StronglyCorr,-296.9650574783988,-0.2773174941119095,-84.27857376667225,0.01589362874910871,0.06309215249930271,2542.2125,2549.2625
GreedyTrap,-160.3765465850977,0.0,0.0,0.0006967274992347888,0.0018141150016162562,46.0,46.0
SubsetSum,-4921.6001072857525,-706.5215651756421,-94.7797496878147,0.000791790000221175,0.03976052750058438,156.2125,1259.8875
ProbingBenefit,-240.00394984884656,13.872308571203432,-72.35232350183357,0.003968673748386162,0.013493647501127226,634.5375,546.5125
