算法,平均运行时间(s),运行时间标准差,平均节点处理时间(s),平均探索节点数,探索比例(%),精确率(%),平均首次最优节点数,平均收敛速度指数,平均内存消耗(MB),样本数量
bb_basic,0.0038392081244637164,0.013108606114771118,7.53509323787565e-06,611.76875,100.0,100.0,23.5,0.04520966264917877,0.0021358489990234114,480
bb_enhanced,0.020435246459085905,0.055450065157677655,2.6153044059101872e-05,769.5,100.0,100.0,560.9875,0.019313372799197915,0.06992625395456949,480
