class,algo,n,mean_runtime_s,std_runtime,ci95_runtime,mean_time_per_node,std_time_per_node,count
GreedyTrap,bb_basic,15,0.000364909999916515,3.930986392713493e-05,1.7228307473758746e-05,1.177129031988758e-05,1.268060126681772e-06,20
GreedyTrap,bb_basic,20,0.000576994998118565,7.75160052838922e-05,3.3972887203167106e-05,1.4073048734599146e-05,1.8906342752168827e-06,20
GreedyTrap,bb_basic,25,0.0008412249982938599,0.00012512586534096118,5.4838828366591324e-05,1.6494607809683533e-05,2.453448340018847e-06,20
GreedyTrap,bb_basic,30,0.001003780000610215,8.240438440195096e-05,3.6115313812689995e-05,1.6455409846069098e-05,1.3508915475729668e-06,20
GreedyTrap,bb_enhanced,15,0.0009810100025787998,1.9094085029123842e-05,8.368351730283264e-06,3.164548395415485e-05,6.159382267459299e-07,20
GreedyTrap,bb_enhanced,20,0.0015373300018836301,8.634720617670286e-05,3.784333164494627e-05,3.749585370447878e-05,2.1060294189439734e-06,20
GreedyTrap,bb_enhanced,25,0.002096020001772505,6.714943114318602e-05,2.9429535766574645e-05,4.1098431407304017e-05,1.3166555126114909e-06,20
GreedyTrap,bb_enhanced,30,0.0026421000002300903,0.00020119156387997484,8.817609061368255e-05,4.331311475787033e-05,3.2982223586881127e-06,20
ProbingBenefit,bb_basic,15,0.00050867499885494,0.00017484741217528338,7.663025706551616e-05,6.636586253791563e-06,9.796658547972157e-07,20
ProbingBenefit,bb_basic,20,0.0018308899991097446,0.000989768501258052,0.00043378517155701367,6.460871246169134e-06,1.3197013967243182e-06,20
ProbingBenefit,bb_basic,25,0.0038013599980330952,0.003663195354447032,0.0016054661501713797,6.6132088083478225e-06,1.39224129922794e-06,20
ProbingBenefit,bb_basic,30,0.009733769997546864,0.01005177935289688,0.004405386537869629,6.291318977446494e-06,3.749858152084614e-07,20
ProbingBenefit,bb_enhanced,15,0.001782419999653885,0.0006872364409254015,0.00030119465011074634,2.2476181697448658e-05,1.541069831065931e-06,20
ProbingBenefit,bb_enhanced,20,0.006621645002451224,0.003817612179646836,0.0016731423077026072,2.3844508898832556e-05,1.8477658385551016e-06,20
ProbingBenefit,bb_enhanced,25,0.01320281000007521,0.013280104526802047,0.005820262428165483,2.3271668498141508e-05,1.6369501791129548e-06,20
ProbingBenefit,bb_enhanced,30,0.032367715002328594,0.0435669556963487,0.019094060203912442,2.4754647692499935e-05,3.0183534649843056e-06,20
StronglyCorr,bb_basic,15,0.002661169997008935,0.003265702055443495,0.0014312570308855584,5.6883410502496975e-06,6.101035885317563e-07,20
StronglyCorr,bb_basic,20,0.0051972549983474396,0.007523390085697192,0.00329727108396191,6.860729574222402e-06,2.033184486961186e-06,20
StronglyCorr,bb_basic,25,0.024471590000757673,0.04302712399260326,0.018857468528259515,5.987278329694541e-06,6.782462676855594e-07,20
StronglyCorr,bb_basic,30,0.031244500000320797,0.02892952687461976,0.012678924175117135,6.161021988496425e-06,5.184913218174679e-07,20
StronglyCorr,bb_enhanced,15,0.009825630000705085,0.013137264281407284,0.005757659930434896,2.187174657677106e-05,2.7927968322565376e-06,20
StronglyCorr,bb_enhanced,20,0.01990157499894843,0.03075789263077956,0.013480240798344334,2.308993825947523e-05,3.505682017819381e-06,20
StronglyCorr,bb_enhanced,25,0.10019768999918592,0.18237694884936018,0.07993022201060959,2.2295668164564783e-05,2.7175053595155113e-06,20
StronglyCorr,bb_enhanced,30,0.12244371499837141,0.11651964147893752,0.05106698445591845,2.2827362873442893e-05,2.645176330264472e-06,20
SubsetSum,bb_basic,15,0.000679359999776305,0.0006936188643049946,0.00030399187048818537,5.439950808389428e-06,8.531677078633762e-07,20
SubsetSum,bb_basic,20,0.000834469998517255,0.0007955510112013852,0.0003486656035605388,5.416929973460898e-06,1.0263396615770753e-06,20
SubsetSum,bb_basic,25,0.000730610000027755,0.0005153715052391969,0.00022587152099872172,5.211307478751296e-06,7.272740047636197e-07,20
SubsetSum,bb_basic,30,0.0009227200025633851,0.001248836887810875,0.0005473268980950614,5.192649462186266e-06,5.16958585577833e-07,20
SubsetSum,bb_enhanced,15,0.017947510001977165,0.011923083815441297,0.005225521878899842,2.713936748313131e-05,1.9156904384410314e-06,20
SubsetSum,bb_enhanced,20,0.024683455000194896,0.010674208775190755,0.004678178259760854,2.9962714130773453e-05,1.443507255190848e-06,20
SubsetSum,bb_enhanced,25,0.05473495500045824,0.02593646539858713,0.01136715714655315,3.218925128242171e-05,1.213632167656405e-06,20
SubsetSum,bb_enhanced,30,0.06167618999970723,0.02561763440943793,0.011227423304599214,3.24411021442627e-05,1.107008355887058e-06,20
Uncorrelated,bb_basic,15,0.00029655999969686,0.00024310506716973342,0.00010654549334977056,7.450972531643517e-06,2.184905182924888e-06,20
Uncorrelated,bb_basic,20,0.00038295499907685,0.00020950512173610033,9.181966799191266e-05,6.5681676901319495e-06,7.391769601954785e-07,20
Uncorrelated,bb_basic,25,0.00052368000033307,0.00023395018399679894,0.00010253318889402346,6.381013554589703e-06,7.498531758578511e-07,20
Uncorrelated,bb_basic,30,0.000529129999631505,0.00018745754543806332,8.215689164097398e-05,6.81452537503635e-06,1.0165280746653536e-06,20
Uncorrelated,bb_enhanced,15,0.0008195100017473501,0.00029476967907079055,0.00012918850786118458,2.2811324924336808e-05,2.4994332636634506e-06,20
Uncorrelated,bb_enhanced,20,0.001278119999915305,0.0009554607847267288,0.0004187491518389146,2.1855284353646654e-05,2.238025813290066e-06,20
Uncorrelated,bb_enhanced,25,0.00154997000136058,0.0006737920048821573,0.0002953023662200253,2.200690398934913e-05,2.0538376159117983e-06,20
Uncorrelated,bb_enhanced,30,0.0016235400005825348,0.0006298243485774699,0.00027603269123153414,2.26079017429551e-05,2.6604157321323848e-06,20
WeaklyCorr,bb_basic,15,0.0006887850009661,0.0004681967058280919,0.00020519625357032475,6.215423074012415e-06,2.9006923838193206e-06,20
WeaklyCorr,bb_basic,20,0.0009117549998335899,0.0006667161479328911,0.0002922012351810511,5.8837254461780364e-06,1.3190788281855983e-06,20
WeaklyCorr,bb_basic,25,0.001348839998536225,0.0007884105619557159,0.0003455361636995109,5.229330940084629e-06,3.459935847160733e-07,20
WeaklyCorr,bb_basic,30,0.0020560100012516503,0.0016876623176114343,0.0007396506223878254,5.544528435893683e-06,4.3181901297536773e-07,20
WeaklyCorr,bb_enhanced,15,0.0022985600000537897,0.0018269054817794611,0.0008006766297622721,2.0529644093921698e-05,1.943911206787227e-06,20
WeaklyCorr,bb_enhanced,20,0.002411195000604445,0.0021743173694110385,0.0009529366027616744,2.0065729333434316e-05,1.7378669193757289e-06,20
WeaklyCorr,bb_enhanced,25,0.0038365150008757704,0.0028522439185919403,0.001250051012914863,1.916457233996874e-05,1.319663698986402e-06,20
WeaklyCorr,bb_enhanced,30,0.003986735002399609,0.0025168163789319963,0.0011030434119946554,1.8914655115258857e-05,1.5610935188659622e-06,20
