delta,-log10_p,p_value,cohen_d,win_rate_G+Max,tie_rate,n_pairs
0.001,,,,0.0,1.0,160
0.002,,,,0.0,1.0,160
0.003,,,,0.0,1.0,160
0.004,,,,0.0,1.0,160
0.006,,,,0.0,1.0,160
0.008,,,,0.0,1.0,160
0.01,,,,0.0,1.0,160
