class,rep,sample,algo,value,runtime_s,gap,opt_known,opt_time_s,capacity,n,sum_w
Uncorrelated,0,0,Classic_BeamSearch,1496,0.000229199999012053,0.0,True,0.0016170000017154962,1000,60,39836
Uncorrelated,0,0,Bounded_BeamSearch,1496,0.0001914000022225082,0.0,True,0.0016170000017154962,1000,60,39836
Uncorrelated,0,1,Classic_BeamSearch,1554,0.00016650000179652125,0.0,True,0.0009021000005304813,1000,60,38509
Uncorrelated,0,1,Bounded_BeamSearch,1554,0.0002700999903026968,0.0,True,0.0009021000005304813,1000,60,38509
Uncorrelated,0,2,Classic_BeamSearch,1480,0.00017189999925903976,0.0,True,0.0008239000017056242,1000,60,40319
Uncorrelated,0,2,Bounded_BeamSearch,1480,0.00022159999934956431,0.0,True,0.0008239000017056242,1000,60,40319
Uncorrelated,0,3,Classic_BeamSearch,1583,0.00018740000086836517,0.0,True,0.0008980999991763383,1000,60,39569
Uncorrelated,0,3,Bounded_BeamSearch,1583,0.00019129998690914363,0.0,True,0.0008980999991763383,1000,60,39569
Uncorrelated,0,4,Classic_BeamSearch,1590,0.0001838000025600195,0.0,True,0.0009383999858982861,1000,60,39878
Uncorrelated,0,4,Bounded_BeamSearch,1590,0.00016879999020602554,0.0,True,0.0009383999858982861,1000,60,39878
Uncorrelated,0,5,Classic_BeamSearch,1556,0.00017649999062996358,0.0,True,0.0008963000000221655,1000,60,39389
Uncorrelated,0,5,Bounded_BeamSearch,1556,0.00023119999968912452,0.0,True,0.0008963000000221655,1000,60,39389
Uncorrelated,0,6,Classic_BeamSearch,1467,0.0001711999939288944,0.0,True,0.0008497999951941893,1000,60,40420
Uncorrelated,0,6,Bounded_BeamSearch,1467,0.0002027000009547919,0.0,True,0.0008497999951941893,1000,60,40420
Uncorrelated,0,7,Classic_BeamSearch,1682,0.0001883000077214092,0.0,True,0.0008793000015430152,1000,60,39125
Uncorrelated,0,7,Bounded_BeamSearch,1682,0.00015669999993406236,0.0,True,0.0008793000015430152,1000,60,39125
Uncorrelated,0,8,Classic_BeamSearch,1516,0.00017980000120587647,0.0,True,0.0008667000074638054,1000,60,39758
Uncorrelated,0,8,Bounded_BeamSearch,1516,0.000247900010435842,0.0,True,0.0008667000074638054,1000,60,39758
Uncorrelated,0,9,Classic_BeamSearch,1370,0.00017719999596010894,0.0,True,0.0008782999939285219,1000,60,39980
Uncorrelated,0,9,Bounded_BeamSearch,1370,0.00026119999529328197,0.0,True,0.0008782999939285219,1000,60,39980
Uncorrelated,0,10,Classic_BeamSearch,1536,0.00017759999900590628,0.0,True,0.0009104999917326495,1000,60,39282
Uncorrelated,0,10,Bounded_BeamSearch,1536,0.00026679999427869916,0.0,True,0.0009104999917326495,1000,60,39282
Uncorrelated,0,11,Classic_BeamSearch,1584,0.0001762999891070649,0.0,True,0.0009183000074699521,1000,60,39547
Uncorrelated,0,11,Bounded_BeamSearch,1584,0.0002373000024817884,0.0,True,0.0009183000074699521,1000,60,39547
Uncorrelated,0,12,Classic_BeamSearch,1441,0.00018560000171419233,0.0,True,0.000906000001123175,1000,60,40089
Uncorrelated,0,12,Bounded_BeamSearch,1441,0.00020870000298600644,0.0,True,0.000906000001123175,1000,60,40089
Uncorrelated,0,13,Classic_BeamSearch,1517,0.00017500000831205398,0.0,True,0.0009036999981617555,1000,60,39537
Uncorrelated,0,13,Bounded_BeamSearch,1517,0.0002103000006172806,0.0,True,0.0009036999981617555,1000,60,39537
Uncorrelated,0,14,Classic_BeamSearch,1415,0.00017780000052880496,0.0,True,0.0010413999989395961,1000,60,39073
Uncorrelated,0,14,Bounded_BeamSearch,1415,0.0002449000021442771,0.0,True,0.0010413999989395961,1000,60,39073
Uncorrelated,0,15,Classic_BeamSearch,1586,0.00017719999596010894,0.0,True,0.0008777999901212752,1000,60,38799
Uncorrelated,0,15,Bounded_BeamSearch,1586,0.0002057999954558909,0.0,True,0.0008777999901212752,1000,60,38799
Uncorrelated,0,16,Classic_BeamSearch,1643,0.0001767999929143116,0.0,True,0.0009624999947845936,1000,60,39044
Uncorrelated,0,16,Bounded_BeamSearch,1643,0.00020319999021012336,0.0,True,0.0009624999947845936,1000,60,39044
Uncorrelated,0,17,Classic_BeamSearch,1489,0.0001832999987527728,0.0,True,0.0009395999950356781,1000,60,39131
Uncorrelated,0,17,Bounded_BeamSearch,1489,0.00019829999655485153,0.0,True,0.0009395999950356781,1000,60,39131
Uncorrelated,0,18,Classic_BeamSearch,1396,0.00017590000061318278,0.0,True,0.0008794000023044646,1000,60,39463
Uncorrelated,0,18,Bounded_BeamSearch,1396,0.00025540000933688134,0.0,True,0.0008794000023044646,1000,60,39463
Uncorrelated,0,19,Classic_BeamSearch,1584,0.00017150001076515764,0.0,True,0.0013076000032015145,1000,60,39447
Uncorrelated,0,19,Bounded_BeamSearch,1584,0.00017840000509750098,0.0,True,0.0013076000032015145,1000,60,39447
Uncorrelated,1,0,Classic_BeamSearch,1575,0.00017469999147579074,0.0,True,0.0009499000007053837,1000,60,39732
Uncorrelated,1,0,Bounded_BeamSearch,1575,0.00022220000391826034,0.0,True,0.0009499000007053837,1000,60,39732
Uncorrelated,1,1,Classic_BeamSearch,1606,0.00017340001068077981,0.0,True,0.0008794000023044646,1000,60,40001
Uncorrelated,1,1,Bounded_BeamSearch,1606,0.00016209999739658087,0.0,True,0.0008794000023044646,1000,60,40001
Uncorrelated,1,2,Classic_BeamSearch,1583,0.00017510000907350332,0.0,True,0.0009257999918190762,1000,60,40404
Uncorrelated,1,2,Bounded_BeamSearch,1583,0.00021460000425577164,0.0,True,0.0009257999918190762,1000,60,40404
Uncorrelated,1,3,Classic_BeamSearch,1603,0.00017899999511428177,0.0,True,0.001030300001730211,1000,60,38274
Uncorrelated,1,3,Bounded_BeamSearch,1603,0.00022590000298805535,0.0,True,0.001030300001730211,1000,60,38274
Uncorrelated,1,4,Classic_BeamSearch,1578,0.0001931000006152317,0.0,True,0.001095800005714409,1000,60,39086
Uncorrelated,1,4,Bounded_BeamSearch,1578,0.0001888000115286559,0.0,True,0.001095800005714409,1000,60,39086
Uncorrelated,1,5,Classic_BeamSearch,1539,0.00017610000213608146,0.0,True,0.0009314000053564087,1000,60,39121
Uncorrelated,1,5,Bounded_BeamSearch,1539,0.00020709999080281705,0.0,True,0.0009314000053564087,1000,60,39121
Uncorrelated,1,6,Classic_BeamSearch,1432,0.00018030000501312315,0.0,True,0.0009473999962210655,1000,60,38910
Uncorrelated,1,6,Bounded_BeamSearch,1432,0.00023130000045057386,0.0,True,0.0009473999962210655,1000,60,38910
Uncorrelated,1,7,Classic_BeamSearch,1642,0.0001767999929143116,0.0,True,0.0009219000057782978,1000,60,39187
Uncorrelated,1,7,Bounded_BeamSearch,1642,0.0002199000009568408,0.0,True,0.0009219000057782978,1000,60,39187
Uncorrelated,1,8,Classic_BeamSearch,1521,0.00018549998640082777,0.0,True,0.001590500003658235,1000,60,38910
Uncorrelated,1,8,Bounded_BeamSearch,1521,0.00024989999656099826,0.0,True,0.001590500003658235,1000,60,38910
Uncorrelated,1,9,Classic_BeamSearch,1566,0.0001664000010350719,0.0,True,0.0014473000046564266,1000,60,38919
Uncorrelated,1,9,Bounded_BeamSearch,1566,0.00017869999282993376,0.0,True,0.0014473000046564266,1000,60,38919
Uncorrelated,1,10,Classic_BeamSearch,1513,0.00016619999951217324,0.0,True,0.0010199999960605055,1000,60,39091
Uncorrelated,1,10,Bounded_BeamSearch,1513,0.0002234999992651865,0.0,True,0.0010199999960605055,1000,60,39091
Uncorrelated,1,11,Classic_BeamSearch,1532,0.00018229999113827944,0.0,True,0.0008852000028127804,1000,60,39212
Uncorrelated,1,11,Bounded_BeamSearch,1532,0.00029090000316500664,0.0,True,0.0008852000028127804,1000,60,39212
